x,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17,reference_18,reference_19,reference_20,reference_21,reference_22,reference_23,reference_24,reference_25,reference_26,reference_27,reference_28,reference_29,reference_30,reference_31,reference_32,reference_33,reference_34,reference_35,reference_36,reference_37,reference_38,reference_39,reference_40,reference_41,reference_42,reference_43,reference_44,reference_45,reference_46,reference_47,reference_48,reference_49,reference_50
0.11,-0.44284817156519624,-0.48633018974071646,-0.5298122079162366,-0.5732942260917568,-0.6167762442672771,-0.6602582624427973,-0.703894263050476,-0.7499169913566123,-0.7959397196627486,-0.8419624479688848,-0.8879851762750212,-0.9340079045811573,-0.9796123410538989,-1.0221841617345286,-1.0647559824151585,-1.1073278030957883,-1.149899623776418,-1.192471444457048,-1.2360256580603481,-1.284000639815666,-1.331975621570984,-1.3799506033263018,-1.4279255850816197,-1.4759005668369378,-1.5243962991617337,-1.5745193770161483,-1.624642454870563,-1.674765532724978,-1.7248886105793926,-1.7750116884338074,-1.8241447273025282,-1.8710006765041538,-1.9178566257057794,-1.964712574907405,-2.0115685241090304,-2.058424473310656,-2.1030772066201,-2.1438743121182258,-2.1846714176163515,-2.2254685231144773,-2.266265628612603,-2.307062734110729,-2.344741823351591,-2.378189319100452,-2.4116368148493135,-2.4427007892142942,-2.4709045379186185,-2.4991082866229433,-1.9941343976996562,-0.922659268797017
0.12,-0.4385720049058409,-0.4790475952217516,-0.5195231855376623,-0.559998775853573,-0.6004743661694838,-0.6409499564853944,-0.6815177831563369,-0.7235152733302725,-0.765512763504208,-0.8075102536781436,-0.8495077438520791,-0.8915052340260146,-0.9331027086797664,-0.9718000708121874,-1.0104974329446084,-1.0491947950770295,-1.0878921572094504,-1.1265895193418713,-1.166973649305966,-1.2149482345125926,-1.2629228197192188,-1.3108974049258453,-1.3588719901324717,-1.4068465753390982,-1.4545665081427952,-1.5014906521873377,-1.5484147962318804,-1.595338940276423,-1.6422630843209658,-1.6891872283655083,-1.7343671634245887,-1.7755354178171063,-1.816703672209624,-1.8578719266021415,-1.899040180994659,-1.9402084353871767,-1.9811939504411855,-2.021859671652804,-2.0625253928644227,-2.1031911140760413,-2.14385683528766,-2.1845225564992785,-2.2201883893217724,-2.249068659330454,-2.277948929339136,-2.304133896616539,-2.327084500616407,-2.3500351046162757,-1.8336972114063272,-0.7443652899109323
0.13,-0.43566209305159637,-0.4748932599646554,-0.5141244268777145,-0.5533555937907735,-0.5925867607038326,-0.6318179276168916,-0.6710633485732619,-0.7105297072009551,-0.7499960658286484,-0.7894624244563416,-0.828928783084035,-0.8683951417117282,-0.907870617671432,-0.9474121942882121,-0.9869537709049924,-1.0264953475217724,-1.0660369241385526,-1.1055785007553327,-1.1460684306398081,-1.1908259502289116,-1.235583469818015,-1.2803409894071185,-1.325098508996222,-1.3698560285853256,-1.4136926954022493,-1.454651697306111,-1.495610699209973,-1.5365697011138348,-1.5775287030176968,-1.6184877049215585,-1.6601472282254832,-1.7034179507495524,-1.7466886732736218,-1.7899593957976911,-1.8332301183217603,-1.8765008408458297,-1.9164266204482299,-1.9504987499377093,-1.9845708794271888,-2.0186430089166683,-2.0527151384061475,-2.0867872678956267,-2.1204286836758834,-2.153485559422194,-2.186542435168505,-2.21215320573718,-2.2288286500926926,-2.2455040944482048,-1.7412398492702765,-0.6834771839630522
0.14,-0.43397674952122756,-0.47296042725977444,-0.5119441049983213,-0.5509277827368683,-0.5899114604754152,-0.628895138213962,-0.6676861078947568,-0.7034901026803929,-0.739294097466029,-0.775098092251665,-0.8109020870373012,-0.8467060818229373,-0.8830567332222876,-0.9233706450710661,-0.9636845569198449,-1.0039984687686234,-1.044312380617402,-1.0846262924661807,-1.1251632119736505,-1.166703665945231,-1.2082441199168115,-1.2497845738883917,-1.2913250278599722,-1.3328654818315526,-1.3728748406078048,-1.408099526898656,-1.4433242131895074,-1.478548899480359,-1.5137735857712102,-1.5489982720620616,-1.5872283152732463,-1.632370679401197,-1.6775130435291479,-1.7226554076570986,-1.7677977717850495,-1.8129401359130002,-1.85176335857436,-1.8795280836691854,-1.9072928087640109,-1.9350575338588363,-1.9628222589536617,-1.990586984048487,-2.022125931697192,-2.058787038526161,-2.0954481453551304,-2.1202539305304837,-2.1308333297214985,-2.1414127289125133,-1.6491407160939426,-0.6225890780151722
0.15,-0.4317515042792516,-0.46902432809331907,-0.5062971519073866,-0.543569975721454,-0.5808427995355216,-0.6181156233495891,-0.6551389913639939,-0.6882957944836257,-0.7214525976032575,-0.7546094007228893,-0.787766203842521,-0.8209230069621529,-0.8546858348952272,-0.8928423427257592,-0.9309988505562914,-0.9691553583868235,-1.0073118662173557,-1.0454683740478878,-1.0838478572959735,-1.1232307299230506,-1.1626136025501275,-1.2019964751772045,-1.2413793478042814,-1.2807622204313585,-1.318930352259652,-1.3533024190917482,-1.3876744859238441,-1.42204655275594,-1.4564186195880362,-1.4907906864201321,-1.527385656566993,-1.5690933043378137,-1.6108009521086344,-1.652508599879455,-1.6942162476502758,-1.7359238954210965,-1.771887182940415,-1.7977978400196046,-1.8237084970987945,-1.849619154177984,-1.8755298112571739,-1.9014404683363635,-1.9317660013015434,-1.9680831515405675,-2.0044003017795915,-2.0280165605859026,-2.0363917496729576,-2.044766938760013,-1.5658268869256722,-0.5691143916123338
0.16,-0.42753738674525443,-0.46152635557289906,-0.4955153244005437,-0.5295042932281884,-0.5634932620558329,-0.5974822308834776,-0.6313498196702113,-0.6633360178228257,-0.6953222159754401,-0.7273084141280544,-0.7592946122806689,-0.7912808104332831,-0.8236055786597614,-0.858384979921752,-0.8931643811837426,-0.9279437824457333,-0.9627231837077239,-0.9975025849697146,-1.032909656238051,-1.0711412425349434,-1.1093728288318356,-1.147604415128728,-1.1858360014256202,-1.2240675877225125,-1.261313124110699,-1.2954772545341802,-1.3296413849576612,-1.3638055153811424,-1.3979696458046234,-1.4321337762281043,-1.4674095662128537,-1.5052421731885202,-1.5430747801641866,-1.580907387139853,-1.6187399941155194,-1.6565726010911856,-1.689827120056516,-1.7150699850037583,-1.7403128499510006,-1.7655557148982428,-1.7907985798454849,-1.816041444792727,-1.8449270099027644,-1.8787562395194526,-1.9125854691361408,-1.9367378118080292,-1.9492778901461574,-1.9618179684842858,-1.5101914842653663,-0.5653880273295693
0.17,-0.42332326921125735,-0.45402838305247906,-0.4847334968937008,-0.5154386107349226,-0.5461437245761442,-0.576848838417366,-0.6075606479764287,-0.6383762411620256,-0.6691918343476225,-0.7000074275332194,-0.7308230207188163,-0.7616386139044132,-0.7925253224242953,-0.8239276171177445,-0.8553299118111938,-0.886732206504643,-0.9181345011980923,-0.9495367958915415,-0.9819714551801286,-1.0190517551468363,-1.0561320551135438,-1.0932123550802513,-1.130292655046959,-1.1673729550136664,-1.2036958959617459,-1.237652089976612,-1.2716082839914782,-1.3055644780063445,-1.3395206720212107,-1.3734768660360768,-1.4074334758587146,-1.4413910420392266,-1.4753486082197387,-1.5093061744002507,-1.5432637405807628,-1.5772213067612748,-1.607767057172617,-1.6323421299879117,-1.6569172028032064,-1.6814922756185011,-1.7060673484337958,-1.7306424212490905,-1.7580880185039856,-1.7894293274983377,-1.82077063649269,-1.8454590630301557,-1.8621640306193572,-1.8788689982085587,-1.4545560816050602,-0.5616616630468048
0.18,-0.41903161712451453,-0.4475459451851053,-0.4760602732456961,-0.504574601306287,-0.5330889293668777,-0.5616032574274685,-0.5902829547560673,-0.6215258757387896,-0.6527687967215119,-0.6840117177042342,-0.7152546386869566,-0.7464975596696789,-0.7775384569449395,-0.8071146823411035,-0.8366909077372675,-0.8662671331334314,-0.8958433585295953,-0.9254195839257592,-0.9560700994239625,-0.9915549203813434,-1.0270397413387242,-1.062524562296105,-1.0980093832534856,-1.1334942042108664,-1.1685633746243107,-1.202333637087953,-1.2361038995515954,-1.2698741620152378,-1.30364442447888,-1.3374146869425225,-1.3708659283783753,-1.4035834214503122,-1.4363009145222492,-1.4690184075941863,-1.5017359006661233,-1.5344533937380602,-1.563095291792647,-1.5846048985668713,-1.6061145053410957,-1.6276241121153199,-1.649133718889544,-1.6706433256637683,-1.6954639074236997,-1.7247779552356628,-1.7540920030476257,-1.776829600173674,-1.7916754564766253,-1.8065213127795763,-1.4039703603898168,-0.5579352987640404
0.19,-0.41460904241656243,-0.4420225889718262,-0.46943613552708996,-0.49684968208235375,-0.5242632286376175,-0.5516767751928813,-0.5792959276834536,-0.6101019721713081,-0.6409080166591625,-0.671714061147017,-0.7025201056348716,-0.7333261501227261,-0.7638624476915913,-0.7924430800977843,-0.8210237125039774,-0.8496043449101705,-0.8781849773163635,-0.9067656097225565,-0.9363537172616769,-0.9704754628989711,-1.004597208536265,-1.0387189541735593,-1.0728406998108535,-1.1069624454481475,-1.140860630666246,-1.1740601895743588,-1.2072597484824714,-1.2404593073905843,-1.2736588662986967,-1.3068584252068094,-1.3395001866176897,-1.3708590137849352,-1.402217840952181,-1.4335766681194266,-1.4649354952866724,-1.496294322453918,-1.5238022514267737,-1.544571108559447,-1.56533996569212,-1.5861088228247933,-1.6068776799574664,-1.6276465370901396,-1.6509948849074243,-1.6778439700823962,-1.704693055257368,-1.7254602973189583,-1.7389293276444908,-1.7523983579700233,-1.3662639111744088,-0.5555507699375638
0.2,-0.4101864677086103,-0.436499232758547,-0.46281199780848375,-0.48912476285842044,-0.5154375279083572,-0.5417502929582939,-0.5683089006108397,-0.5986780686038264,-0.6290472365968132,-0.6594164045897999,-0.6897855725827867,-0.7201547405757733,-0.7501864384382432,-0.7777714778544652,-0.8053565172706874,-0.8329415566869095,-0.8605265961031315,-0.8881116355193536,-0.9166373350993912,-0.9493960054165987,-0.9821546757338062,-1.0149133460510138,-1.0476720163682212,-1.0804306866854287,-1.1131578867081817,-1.1457867420607646,-1.1784155974133477,-1.2110444527659308,-1.2436733081185136,-1.2763021634710965,-1.308134444857004,-1.3381346061195585,-1.368134767382113,-1.3981349286446672,-1.4281350899072216,-1.458135251169776,-1.4845092110609006,-1.5045373185520226,-1.5245654260431447,-1.5445935335342669,-1.5646216410253888,-1.584649748516511,-1.6065258623911487,-1.6309099849291295,-1.6552941074671104,-1.6740909944642424,-1.6861831988123563,-1.69827540316047,-1.3296762950131382,-0.5565926673393836
0.21,-0.4057638930006582,-0.43097587654526787,-0.4561878600898776,-0.4813998436344873,-0.506611827179097,-0.5318238107237067,-0.557321873538226,-0.587254165036345,-0.6171864565344639,-0.6471187480325828,-0.6770510395307018,-0.7069833310288207,-0.7365104291848951,-0.7630998756111462,-0.7896893220373974,-0.8162787684636486,-0.8428682148898997,-0.8694576613161509,-0.8969209529371056,-0.9283165479342266,-0.9597121429313474,-0.9911077379284683,-1.022503332925589,-1.05389892792271,-1.0854551427501173,-1.1175132945471706,-1.149571446344224,-1.1816295981412772,-1.2136877499383305,-1.2457459017353836,-1.2767687030963186,-1.3054101984541817,-1.3340516938120448,-1.3626931891699077,-1.3913346845277708,-1.4199761798856338,-1.445216170695027,-1.4645035285445982,-1.4837908863941691,-1.5030782442437403,-1.5223656020933112,-1.5416529599428823,-1.5620568398748733,-1.5839759997758631,-1.605895159676853,-1.6227216916095268,-1.633437069980222,-1.6441524483509173,-1.2930886788518678,-0.5576345647412034
